age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
47, Local-gov,115304, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,<=50K
56, Self-emp-inc,303090, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,<=50K
22, Private,324445, HS-grad,9, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States,<=50K
39, Private,192664, Some-college,10, Divorced, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,<=50K
29, Private,78261, Prof-school,15, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States,<=50K
67, Private,100718, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,30, United-States,<=50K
23, ?,283806, 9th,5, Divorced, ?, Not-in-family, White, Female,0,0,35, United-States,<=50K
23, Private,365881, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,25, United-States,<=50K
22, ?,376277, Some-college,10, Divorced, ?, Not-in-family, White, Female,0,0,35, United-States,<=50K
43, Private,282155, Assoc-acdm,12, Divorced, Prof-specialty, Not-in-family, White, Female,4650,0,40, United-States,<=50K
29, Self-emp-not-inc,132267, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States,<=50K
40, Private,218653, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,<=50K
22, State-gov,255575, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,15, United-States,<=50K
43, Private,104196, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States,<=50K
34, Self-emp-not-inc,180607, HS-grad,9, Married-spouse-absent, Other-service, Unmarried, White, Female,0,0,45, United-States,<=50K
21, Private,236684, Some-college,10, Never-married, Other-service, Other-relative, Black, Female,0,0,8, United-States,<=50K
40, Private,193459, Assoc-acdm,12, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc),<=50K
21, Private,202125, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States,<=50K
26, Private,66638, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States,<=50K
44, Private,651702, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,72, United-States,<=50K
53, Private,394474, Assoc-acdm,12, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States,<=50K
47, Self-emp-not-inc,333052, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,5, United-States,<=50K
25, Private,166971, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States,<=50K
28, Local-gov,312372, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, Black, Male,0,0,40, United-States,<=50K
37, Private,176949, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,<=50K
19, Self-emp-inc,136848, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,6, United-States,<=50K
42, Private,328239, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States,<=50K
23, Private,315065, Some-college,10, Never-married, Other-service, Unmarried, White, Male,0,0,35, Mexico,<=50K
40, Private,50524, 12th,8, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,<=50K
34, Self-emp-not-inc,203488, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States,<=50K
27, Private,194243, Prof-school,15, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States,<=50K
37, Private,164193, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,<=50K
28, Private,132750, HS-grad,9, Divorced, Other-service, Unmarried, Black, Female,0,0,20, United-States,<=50K
36, Private,74791, Bachelors,13, Married-civ-spouse, Sales, Wife, White, Male,0,0,60, ?,<=50K
26, Private,134945, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,40, United-States,<=50K
22, Private,117363, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States,<=50K
31, Private,92179, 10th,6, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,<=50K
19, Private,166153, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,30, United-States,<=50K
46, Private,194698, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,60, United-States,<=50K
