age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
34, Private,207301, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,20, United-States,<=50K
31, Self-emp-not-inc,229946, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Columbia,<=50K
45, Private,229967, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,13550,0,50, United-States,>50K
33, Private,96635, Some-college,10, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,26, South,<=50K
40, Self-emp-not-inc,175943, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1977,15, United-States,>50K
44, Self-emp-inc,240900, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,>50K
61, Private,204908, 11th,7, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,36, United-States,<=50K
61, Private,107438, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,1651,40, United-States,<=50K
28, Private,183597, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Male,594,0,50, Germany,<=50K
30, State-gov,180283, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, United-States,<=50K
53, Private,171058, Some-college,10, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States,<=50K
47, Self-emp-not-inc,84735, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,20, United-States,>50K
17, Private,188949, 11th,7, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States,<=50K
24, Private,403107, 5th-6th,3, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40, Mexico,<=50K
51, Local-gov,201560, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States,>50K
38, Private,223433, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,<=50K
31, Private,176430, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<=50K
30, Private,206046, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1848,40, United-States,>50K
33, Self-emp-not-inc,170979, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States,>50K
38, Local-gov,181721, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States,<=50K
42, Private,175935, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,<=50K
31, Local-gov,201697, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States,>50K
32, Self-emp-inc,195447, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States,<=50K
17, Private,41865, 10th,6, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States,<=50K
30, Private,100734, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,<=50K
30, Private,182191, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,2202,0,38, United-States,<=50K
54, Private,50385, Bachelors,13, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,45, United-States,>50K
60, Private,101198, Assoc-voc,11, Divorced, Other-service, Not-in-family, White, Male,0,0,20, United-States,<=50K
42, Private,84661, Some-college,10, Divorced, Craft-repair, Own-child, White, Male,0,0,30, United-States,<=50K
50, Self-emp-not-inc,43705, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States,<=50K
35, Private,319831, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,<=50K
28, Private,363257, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,50, United-States,<=50K
59, Private,169560, 10th,6, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,<=50K
40, Private,31621, HS-grad,9, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,<=50K
59, State-gov,139616, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,>50K
25, Private,259336, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, Peru,<=50K
34, ?,197688, HS-grad,9, Never-married, ?, Not-in-family, Black, Female,0,0,40, United-States,<=50K
50, Self-emp-not-inc,183915, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,>50K
41, Private,222596, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,15024,0,45, United-States,>50K
17, Private,347000, 12th,8, Never-married, Farming-fishing, Own-child, White, Male,0,0,12, United-States,<=50K
